x,y,score
511.23,527.26,0.797615663
443.2,499.23,0.797572291
376.16,390.14,0.797509085
430.17,516.22,0.797500927
445.18,530.23,0.797498362
446.2,475.23,0.797476322
398.14,400.16,0.797454083
428.19,473.21,0.797277756
483.2,528.22,0.797171702
431.2,472.22,0.797019463
431.2,457.18,0.79687884
443.2,527.22,0.79674825
447.2,460.22,0.796719182
532.25,544.25,0.796697088
458.2,530.23,0.796498817
472.22,499.23,0.796205596
442.17,503.22,0.795888567
473.21,544.25,0.79573912
432.19,513.21,0.795604498
433.18,445.22,0.795563219
390.14,416.15,0.795212888
430.17,472.22,0.795203761
443.2,485.21,0.794905575
416.19,499.23,0.794900919
487.19,502.24,0.794862362
444.22,517.24,0.79483239
442.17,483.2,0.794813546
418.17,458.2,0.794732875
444.22,475.23,0.794717003
430.21,473.21,0.79463328
418.17,446.2,0.79443405
472.22,501.21,0.794413677
473.21,487.19,0.794176076
471.2,502.24,0.794144114
429.19,431.2,0.794103059
454.21,527.26,0.794077265
424.16,428.19,0.794073163
428.19,529.24,0.793903307
432.19,471.2,0.79372589
