,L0_330_O,L0_330_H,L0_354_O,L0_354_H,L0_378_O,L0_378_H,L0_402_O,L0_402_H,L0_426_O,L0_426_H,L0_450_O,L0_450_H,L2_330_O,L2_330_H,L2_354_O,L2_354_H,L2_378_O,L2_378_H,L2_402_O,L2_402_H,L2_426_O,L2_426_H,L2_450_O,L2_450_H,L5_330_O,L5_330_H,L5_354_O,L5_354_H,L5_378_O,L5_378_H,L5_402_O,L5_402_H,L5_426_O,L5_426_H,L5_450_O,L5_450_H,L8_330_O,L8_330_H,L8_354_O,L8_354_H,L8_378_O,L8_378_H,L8_402_O,L8_402_H,L8_426_O,L8_426_H,L8_450_O,L8_450_H
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11764705882352941,1.6470588235294117,,,0.13333333333333333,1.6,,,,,,
229,,,,,,,0.13333333333333333,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,0.1111111111111111,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10526315789473684,0.8421052631578947,,,,,,,,,,,0.14285714285714285,1.8571428571428572
233,,,,,,,,,0.1111111111111111,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,1.0,,,,,,,,,,
234,,,,,,,,,,,,,,,,,0.11764705882352941,1.5294117647058822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.875,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,1.5555555555555556,0.11764705882352941,1.7647058823529411,,,,,,,,,,
238,,,,,,,0.125,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,0.1111111111111111,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,0.15384615384615385,1.5384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11764705882352941,1.8823529411764706,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,1.6666666666666667,,,,,,,,,,,0.13333333333333333,1.0666666666666667
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,1.1111111111111112,,,,,,,,,,
245,,,,,,,0.13333333333333333,1.7333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,2.0
246,,,,,0.1111111111111111,1.4444444444444444,,,,,,,,,,,0.11764705882352941,1.6470588235294117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,0.13333333333333333,1.4666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,0.11764705882352941,1.8823529411764706,,,,,,,,,,
