,Unnamed: 0,0.5138,0.48382,0.4591,0.42902,0.47892,0.49402,0.42421,0.50394,0.48902,0.4137,0.46898,0.5189,0.4491,0.43906,0.40818,0.41865,0.54515,0.52428,0.53468,0.45396,0.47393,0.50893,0.44399,0.54982,0.53976,0.49902,0.52932,0.43418,0.46401
13262,"1317.25, 1322.3",,[[1.25550464]],[[1.17393351]],[[1.54942126]],,,,[[1.22337077]],[[1.26944548]],[[0.84462838]],,[[1.25125551]],[[1.21330099]],[[1.1217754]],,[[0.94047807]],,[[1.17588329]],[[1.15594761]],,[[1.11809857]],,[[1.25750994]],,,[[1.19262546]],[[1.0925692]],[[1.23518584]],[[1.1752572]]
13264,"1317.25, 1323.02",,,,,,,[[-5.34161516]],,[[-3.06940382]],[[-3.54129223]],,[[-2.49795997]],[[-4.65623963]],[[-4.92642197]],,,,[[-2.68764545]],,,[[-3.64514791]],,,,,[[-2.34427032]],[[-2.70111235]],[[-4.85178162]],[[-4.34999599]]
13269,"1317.25, 1323.3",,[[1.1028277]],[[1.05578002]],,,,,[[1.09664478]],[[1.10913761]],[[0.85198479]],,,[[1.06047803]],[[0.96538368]],,[[0.9778188]],,[[0.77050963]],,,[[1.01301]],,[[1.10370038]],,,[[1.13902962]],,[[1.03300389]],[[1.02184878]]
13271,"1317.25, 1324.02",,[[-0.91206538]],[[-1.22199668]],,,,,[[-0.74502409]],,,,,[[-1.20513834]],[[-1.31254462]],,,,[[-0.80337197]],,,[[-1.08361951]],,[[-1.69495776]],,,[[-0.72059288]],[[-0.97248171]],[[-1.43148601]],
13282,"1317.25, 1326.32",,[[2.33034681]],[[2.34318265]],,,,[[2.55127202]],[[2.52436737]],[[2.40327268]],,,,[[2.33115145]],[[2.17635737]],,[[2.40507636]],,[[2.27137051]],,,[[2.39155275]],,[[2.63762247]],,,[[2.50889234]],[[2.22149385]],[[2.60214628]],[[2.54574613]]
13286,"1317.25, 1327.33",,[[0.66285287]],,[[1.10393348]],,,,,[[0.69801791]],,,[[0.62227172]],[[0.69553121]],[[0.78473178]],,,,[[0.51298129]],,,[[0.6469539]],,[[0.80424134]],,,,,[[0.81001209]],[[0.76329673]]
13289,"1317.25, 1332.21",,,,[[0.57897527]],,,[[0.37906599]],[[0.43528164]],,,,[[0.460952]],[[0.50042255]],,,,,[[0.53349797]],,,,,[[0.43034058]],,,,[[0.51996273]],,[[0.45970295]]
13311,"1317.25, 1342.29",,,,[[0.70325596]],,,[[0.48564617]],,,,,,,[[0.44044686]],,[[0.35626446]],,[[0.50903048]],,,[[0.41677515]],,,,,[[0.45035253]],[[0.39910631]],[[0.63130443]],[[0.42791245]]
13317,"1317.25, 1347.02",,,[[-4.727198]],,,,[[-5.0082245]],,[[-3.03808309]],[[-3.59003722]],,[[-2.27176748]],[[-4.66602591]],[[-4.72306219]],,,,[[-2.47970593]],,,[[-3.76124846]],,,,[[-3.59158321]],[[-2.29149146]],[[-2.86283517]],[[-4.92190346]],[[-4.47623433]]
13322,"1317.25, 1349.03",,[[-0.21311231]],,,,,[[-0.39436159]],,,,,,[[-0.22604191]],[[-0.31190401]],,,,[[-0.21034324]],[[-0.21781996]],,,,[[-0.34918848]],,,,[[-0.18849612]],[[-0.27872857]],[[-0.28947845]]
