,newindices,pixel_x,pixel_y,ccat
R00X214Y074,0.9042901727596938,7.334687799999998,28.869253599999993,0.45899999999999996
R00X215Y074,0.9047998890383375,7.3458901999999995,29.036328199999993,0.47700000000000004
R00X220Y074,0.010031691603686669,7.401944,29.871575800000002,0.493
R00X221Y074,0.9386312606640351,7.413146399999999,30.038650399999998,0.514
R00X222Y074,0.03601643213781294,7.424348799999999,30.205683199999996,0.52
R00X227Y074,0.3579673119618009,7.480402599999999,31.040972599999996,0.474
R00X228Y074,0.15468120436806929,7.491604999999999,31.2080054,0.466
R00X230Y074,0.22866928662726788,7.514009799999999,31.542112799999998,0.435
R00X231Y074,0.8203549836525962,7.5252122,31.7091874,0.42700000000000005
R00X234Y074,0.8790441030024791,7.558819399999999,32.2103276,0.433
R00X236Y074,0.9275186911330028,7.581265999999999,32.544435,0.386
R00X239Y074,0.8245576876015571,7.6148732,33.045617,0.469
R00X240Y074,0.8982252876635899,7.6260756,33.2126498,0.483
R00X245Y074,0.2566065947256205,7.682129399999999,34.060771800000005,0.479
R00X247Y074,0.8383357158109336,7.7045342,34.410804999999996,0.473
R00X248Y074,0.8987240601843663,7.7157366000000005,34.585821599999996,0.54
R00X249Y074,0.04753289293398332,7.726938999999999,34.760838199999995,0.51
R00X252Y074,0.9040226705071388,7.7605462,35.28588799999999,0.494
R00X253Y074,0.8656250938685587,7.7717903999999995,35.4609046,0.47
R00X260Y074,0.24694240672534928,7.8502072,36.6860208,0.546
R00X261Y074,0.8829513137500848,7.861451399999998,36.8610374,0.506
