,m/z,I,S/N,em,error,C,H,Class,dbe,,11062030927
8638,281.1759,1719335,11.1,281.1758329,6.71E-05,16,25,O4,,,
8639,281.21224,4206382,30.8,281.2122184,2.16E-05,17,29,O3,,,
8643,281.24851,2964642816,23456.4,281.2486039,9.39E-05,18,33,O2,2,0.268001675,
8676,282.09247,1115282,6.3,282.0924376,3.24E-05,20,12,O1N1,,,
8679,282.12877,2210265,14.9,282.1288231,5.31E-05,21,16,N1,,,
8682,282.14993,2058333,13.7,282.1499525,2.25E-05,18,20,O2N1,,,
8684,282.1863,1315171,7.9,282.186338,3.80E-05,19,24,O1N1,,,
8728,283.17032,2590103,17.9,283.1703536,3.36E-05,19,23,O2,8,0.000234144,
8730,283.19147,3819162,27.6,283.1914829,1.29E-05,16,27,O4,,,
8732,283.22784,8458657,64.1,283.2278684,2.84E-05,17,31,O3,,,
8736,283.2642,1800199552,14179,283.2642539,5.39E-05,18,35,O2,1,0.162736803,
8767,284.10806,1210686,7,284.1080877,2.77E-05,20,14,O1N1,,,
8769,284.14451,8077893,61.1,284.1444732,3.68E-05,21,18,N1,,,
8771,284.16566,1702728,10.9,284.1656025,5.75E-05,18,22,O2N1,,,
8774,284.20198,1644494,10.4,284.201988,8.04E-06,19,26,O1N1,,,
8777,284.25853,2046808,13.6,284.2595029,0.000972919,17,34,O2N1,,,
8809,285.14972,1291636,7.7,285.1496181,0.000101884,18,21,O3,,,
8814,285.18602,3436794,24.6,285.1860036,1.64E-05,19,25,O2,7,0.000310684,
8815,285.20713,6809342,51.1,285.207133,2.99E-06,16,29,O4,,,
8816,285.22238,1412992,8.6,285.2223891,9.13E-06,20,29,O1,,,
8818,285.24358,2245636,15.2,285.2435185,6.15E-05,17,33,O3,,,
8851,286.12345,1477146,9.1,286.1237377,0.000287719,20,16,O1N1,,,
8855,286.16016,21702560,168.5,286.1601232,3.68E-05,21,20,N1,,,
8856,286.18121,2670244,18.5,286.1812526,4.26E-05,18,24,O2N1,,,
8865,286.27434,1451956,8.9,286.275153,0.000812983,17,36,O2N1,,,
8895,287.10777,1169439,6.7,287.1077533,1.67E-05,20,15,O2,13,0.000105716,
8907,287.16534,1671241,10.6,287.1652682,7.18E-05,18,23,O3,,,
8912,287.20173,7114319,53.3,287.2016537,7.63E-05,19,27,O2,6,0.00064313,
8913,287.22282,6925395,51.8,287.2227831,3.69E-05,16,31,O4,,,
8916,287.23801,1952085,12.8,287.2380392,2.92E-05,20,31,O1,,,
8946,288.10299,2634723,18.2,288.1030023,1.23E-05,19,14,O2N1,,,
8950,288.13928,1379049,8.3,288.1393878,0.000107783,20,18,O1N1,,,
8952,288.1607,1100652,6.1,288.1605172,0.000182848,17,22,O3N1,,,
8954,288.17579,3039215,21.3,288.1757733,1.67E-05,21,22,N1,,,
8982,289.12356,1110408,6.2,289.1234034,0.000156633,20,17,O2,12,0.00010038,
8986,289.14435,1238667,7.2,289.1445327,0.000182736,17,21,O4,,,
8989,289.15986,3102093,21.8,289.1597889,7.11E-05,21,21,O1,,,
8993,289.18093,2291985,15.5,289.1809182,1.18E-05,18,25,O3,,,
8999,289.21739,7270295,54.5,289.2173038,8.62E-05,19,29,O2,5,0.00065723,
9000,289.25369,3329436,23.6,289.2536893,7.38E-07,20,33,O1,,,
9028,290.11865,1405861,8.5,290.1186523,2.34E-06,19,16,O2N1,,,
9030,290.13989,2466088,16.8,290.1397817,0.000108292,16,20,O4N1,,,
9032,290.15505,2266923,15.3,290.1550378,1.22E-05,20,20,O1N1,,,
9036,290.19146,8135216,61.3,290.1914234,3.66E-05,21,24,N1,,,
9079,291.13918,1147075,6.5,291.1390534,0.000126568,20,19,O2,11,0.000103695,
9080,291.1602,1183686,6.7,291.1601828,1.72E-05,17,23,O4,,,
9085,291.19665,3606988,25.7,291.1965683,8.17E-05,18,27,O3,,,
9089,291.233,4818642,35.1,291.2329538,4.62E-05,19,31,O2,4,0.000435602,
9114,292.09785,1394389,8.4,292.0979169,6.69E-05,18,14,O3N1,,,
9116,292.13422,2798939,19.3,292.1343024,8.24E-05,19,18,O2N1,,,
9118,292.17079,2013408,13.2,292.1706879,0.000102088,20,22,O1N1,,,
9124,292.2071,9961318,75.2,292.2070734,2.66E-05,21,26,N1,,,
9154,293.1548,1991412,13,293.1547035,9.65E-05,20,21,O2,10,0.000180022,
9156,293.17585,33346550,257.8,293.1758329,1.71E-05,17,25,O4,,,
9162,293.21227,15657980,119.7,293.2122184,5.16E-05,18,29,O3,,,
9165,293.24863,10223618,77.3,293.2486039,2.61E-05,19,33,O2,3,0.000924208,
9189,294.12888,13732995,104.7,294.1288231,5.69E-05,22,16,N1,,,
9190,294.15002,1618054,10.1,294.1499525,6.75E-05,19,20,O2N1,,,
9194,294.18631,1355916,8.1,294.186338,2.80E-05,20,24,O1N1,,,
9233,295.13393,1682709,10.6,295.1339681,3.81E-05,19,19,O3,,,
9238,295.17038,1165595,6.6,295.1703536,2.64E-05,20,23,O2,9,0.000105369,
9242,295.19151,1437854,8.7,295.1914829,2.71E-05,17,27,O4,,,
9244,295.2279,90162464,701.2,295.2278684,3.16E-05,18,31,O3,,,
9245,295.2643,33559848,259.4,295.2642539,4.61E-05,19,35,O2,2,0.003033787,
9263,296.10806,3632801,25.7,296.1080877,2.77E-05,21,14,O1N1,,,
9269,296.14455,2480038,16.8,296.1444732,7.68E-05,22,18,N1,,,
9270,296.16562,2206377,14.6,296.1656025,1.75E-05,19,22,O2N1,,,
9272,296.20196,1259310,7.3,296.201988,2.80E-05,20,26,O1N1,,,
9276,296.2385,1199411,6.8,296.2383735,0.00012645,21,30,N1,,,
9305,297.14971,1342771,7.9,297.1496181,9.19E-05,19,21,O3,,,
9311,297.186,3081785,21.4,297.1860036,3.62E-06,20,25,O2,8,0.000278591,
9314,297.20708,2534076,17.2,297.207133,5.30E-05,17,29,O4,,,
9318,297.24356,216049216,1675.6,297.2435185,4.15E-05,18,33,O3,,,
9319,297.2799,197289536,1529.9,297.279904,4.01E-06,19,37,O2,1,0.017834839,
9352,298.12373,2759099,18.9,298.1237377,7.72E-06,21,16,O1N1,,,
9356,298.16014,10175168,76.5,298.1601232,1.68E-05,22,20,N1,,,
9358,298.1813,1705539,10.8,298.1812526,4.74E-05,19,24,O2N1,,,
9398,299.16524,1096138,6,299.1652682,2.82E-05,19,23,O3,,,
9404,299.20171,6685007,49.4,299.2016537,5.63E-05,20,27,O2,7,0.00060432,
9405,299.22286,4193106,30.1,299.2227831,7.69E-05,17,31,O4,,,
9409,299.25915,7609175,56.6,299.2591686,1.86E-05,18,35,O3,,,
9437,300.10307,1328714,7.8,300.1030023,6.77E-05,20,14,O2N1,,,
9443,300.13942,1823695,11.7,300.1393878,3.22E-05,21,18,O1N1,,,
9446,300.17581,16586707,126.3,300.1757733,3.67E-05,22,22,N1,,,
9449,300.1969,5414359,39.6,300.1969027,2.66E-06,19,26,O2N1,,,
9492,301.18092,1762267,11.1,301.1809182,1.76E-06,19,25,O3,,,
9497,301.21734,7322720,54.1,301.2173038,3.62E-05,20,29,O2,6,0.000661969,
9499,301.23847,8579682,63.8,301.2384331,3.69E-05,17,33,O4,,,
9501,301.25373,1885028,12.1,301.2536893,4.07E-05,21,33,O1,,,
9535,302.11869,2171352,14.3,302.1186523,3.77E-05,20,16,O2N1,,,
9540,302.1551,2362588,15.8,302.1550378,6.22E-05,21,20,O1N1,,,
9545,302.19143,4266209,30.5,302.1914234,6.64E-06,22,24,N1,,,
9549,302.23376,1852263,11.8,302.2336821,7.79E-05,16,32,O4N1,,,
9575,303.13901,1622494,10.1,303.1390534,4.34E-05,21,19,O2,12,0.000146672,
9579,303.1603,1107553,6.1,303.1601828,0.000117199,18,23,O4,,,
9586,303.19661,1901542,12.2,303.1965683,4.17E-05,19,27,O3,,,
9591,303.23299,9972075,74.6,303.2329538,3.62E-05,20,31,O2,5,0.000901469,
9596,303.26936,3995248,28.4,303.2693393,2.07E-05,21,35,O1,,,
9618,304.09804,1110492,6.1,304.0979169,0.000123105,19,14,O3N1,,,
9621,304.13426,2056673,13.4,304.1343024,4.24E-05,20,18,O2N1,,,
9624,304.1707,2278886,15.1,304.1706879,1.21E-05,21,22,O1N1,,,
9627,304.20707,8241131,61.2,304.2070734,3.42E-06,22,26,N1,,,
9655,305.15463,1804134,11.5,305.1547035,7.35E-05,21,21,O2,11,0.000163092,
